cluster,category,count
-1,auto_mobility,9
-1,education,2
-1,finance,2
-1,food_drink,17
-1,retail_food,2
0,auto_mobility,1
0,education,3
0,food_drink,1
0,retail_food,2
0,unknown,1
1,auto_mobility,1
1,food_drink,5
1,unknown,1
2,auto_mobility,25
2,education,127
2,finance,62
2,food_drink,64
2,healthcare,27
2,retail_food,73
2,unknown,16
3,education,1
3,finance,3
3,food_drink,7
3,retail_food,6
3,unknown,1
4,auto_mobility,5
4,education,32
4,finance,8
4,food_drink,11
4,healthcare,3
4,retail_food,11
4,unknown,1
