address,address_name,id,name,point,rubrics,type,address_comment,full_name,purpose_name,_collected_at,lat,lon,cluster
"{'building_id': '5348660212700765', 'building_name': None, 'components': array([{'number': '22/1', 'street': 'Канонерский остров', 'street_id': None, 'type': 'street_number'}],
      dtype=object), 'landmark_name': None, 'postcode': '198184'}","Канонерский остров, 22/1",70000001105864605,"Бишкек-1, банкетный зал","{'lat': 59.903347, 'lon': 30.220219}","[{'alias': 'kafe', 'id': '161', 'kind': 'additional', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}
 {'alias': 'banketnye_zaly', 'id': '10803', 'kind': 'primary', 'name': 'Банкетные залы', 'parent_id': '2', 'short_id': 10803}]",branch,,,,2025-11-25 15:09:43.574079,59.903347,30.220219,0
"{'building_id': '5348660212706440', 'building_name': None, 'components': array([{'number': '47', 'street': 'улица Маршала Говорова', 'street_id': '5348763291877435', 'type': 'street_number'}],
      dtype=object), 'landmark_name': None, 'postcode': '198095'}","улица Маршала Говорова, 47",5348552838665541,"The Plaсe, ресторан-клуб","{'lat': 59.899616, 'lon': 30.28971}","[{'alias': 'kafe', 'id': '161', 'kind': 'additional', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}
 {'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}
 {'alias': 'arenda_koncertnykh_ploshhadok', 'id': '111506', 'kind': 'additional', 'name': 'Аренда концертных площадок', 'parent_id': '9', 'short_id': 111506}
 {'alias': 'banketnye_zaly', 'id': '10803', 'kind': 'additional', 'name': 'Банкетные залы', 'parent_id': '2', 'short_id': 10803}]",branch,1 этаж,,,2025-11-25 15:09:43.574079,59.899616,30.28971,1
"{'building_id': '5348660212745091', 'building_name': None, 'components': array([{'number': '9', 'street': 'площадь Стачек', 'street_id': None, 'type': 'street_number'}],
      dtype=object), 'landmark_name': None, 'postcode': '198095'}","площадь Стачек, 9",70000001037680201,"Токио-City, городские рестораны","{'lat': 59.900015, 'lon': 30.273347}","[{'alias': 'kafe', 'id': '161', 'kind': 'additional', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}
 {'alias': 'restorany', 'id': '164', 'kind': 'primary', 'name': 'Рестораны', 'parent_id': '2', 'short_id': 164}
 {'alias': 'sushi_bary', 'id': '15791', 'kind': 'additional', 'name': 'Суши-бары', 'parent_id': '2', 'short_id': 15791}]",branch,3 этаж,,,2025-11-25 15:09:43.574079,59.900015,30.273347,2
"{'building_id': '5348660212708924', 'building_name': None, 'components': array([{'number': '14/12', 'street': 'Краснопутиловская улица', 'street_id': '5348763291877741', 'type': 'street_number'}],
      dtype=object), 'landmark_name': None, 'postcode': '198152'}","Краснопутиловская улица, 14/12",70000001034787804,"Кузу, ресторан-банкетный зал","{'lat': 59.872686, 'lon': 30.265483}","[{'alias': 'kafe', 'id': '161', 'kind': 'additional', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}
 {'alias': 'restorany', 'id': '164', 'kind': 'primary', 'name': 'Рестораны', 'parent_id': '2', 'short_id': 164}
 {'alias': 'banketnye_zaly', 'id': '10803', 'kind': 'additional', 'name': 'Банкетные залы', 'parent_id': '2', 'short_id': 10803}
 {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}]",branch,,,,2025-11-25 15:09:43.574079,59.872686,30.265483,2
"{'building_id': '5348660212712806', 'building_name': 'ТК Галерея 1814', 'components': array([{'number': '7', 'street': 'площадь Стачек', 'street_id': None, 'type': 'street_number'}],
      dtype=object), 'landmark_name': None, 'postcode': '198095'}","площадь Стачек, 7",5348552838670581,"Контакт, бар","{'lat': 59.900719, 'lon': 30.27241}","[{'alias': 'kafe', 'id': '161', 'kind': 'additional', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}
 {'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}]",branch,2 этаж,,,2025-11-25 15:09:43.574079,59.900719,30.27241,2
"{'building_id': '5348660212686625', 'building_name': None, 'components': array([{'number': '13', 'street': 'улица Зайцева', 'street_id': '5348763291877861', 'type': 'street_number'}],
      dtype=object), 'landmark_name': None, 'postcode': '198152'}","улица Зайцева, 13",70000001082676689,"Брынза, чебуречная","{'lat': 59.872325, 'lon': 30.266993}","[{'alias': 'kafe', 'id': '161', 'kind': 'primary', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}
 {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}]",branch,1 этаж,,,2025-11-25 15:09:43.574079,59.872325,30.266993,2
"{'building_id': '5348660212716354', 'building_name': 'ДК им.Газа', 'components': array([{'number': '72', 'street': 'Стачек проспект', 'street_id': '5348763291877487', 'type': 'street_number'}],
      dtype=object), 'landmark_name': None, 'postcode': '198188'}","Стачек проспект, 72",70000001061204088,"Inside, бар","{'lat': 59.879312, 'lon': 30.263218}","[{'alias': 'kafe', 'id': '161', 'kind': 'additional', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}
 {'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}]",branch,4 этаж,,,2025-11-25 15:09:43.574079,59.879312,30.263218,2
"{'building_id': '5348660212745091', 'building_name': None, 'components': array([{'number': '9', 'street': 'площадь Стачек', 'street_id': None, 'type': 'street_number'}],
      dtype=object), 'landmark_name': None, 'postcode': '198095'}","площадь Стачек, 9",70000001032233859,"Теремок, ресторан домашней кухни","{'lat': 59.900275, 'lon': 30.272793}","[{'alias': 'kafe', 'id': '161', 'kind': 'primary', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}
 {'alias': 'bystroe_pitanie', 'id': '165', 'kind': 'additional', 'name': 'Быстрое питание', 'parent_id': '2', 'short_id': 165}
 {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}]",branch,1 этаж,,,2025-11-25 15:09:43.574079,59.900275,30.272793,2
"{'building_id': '5348660212708711', 'building_name': None, 'components': array([{'number': '74/1', 'street': 'Стачек проспект', 'street_id': '5348763291877487', 'type': 'street_number'}],
      dtype=object), 'landmark_name': None, 'postcode': '198152'}","Стачек проспект, 74/1",70000001017509737,"Штолле, кафе-пироговая","{'lat': 59.876153, 'lon': 30.258889}","[{'alias': 'kafe', 'id': '161', 'kind': 'additional', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}
 {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'primary', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}
 {'alias': 'produkty_bystrogo_prigotovleniya', 'id': '561', 'kind': 'additional', 'name': 'Продукты быстрого приготовления', 'parent_id': '14', 'short_id': 561}]",branch,,,,2025-11-25 15:09:43.574079,59.876153,30.258889,2
"{'building_id': '5348660212672927', 'building_name': None, 'components': array([{'number': '35 лит А', 'street': 'Автовская улица', 'street_id': '5348763291877856', 'type': 'street_number'}],
      dtype=object), 'landmark_name': None, 'postcode': '198188'}","Автовская улица, 35 лит А",70000001047056393,"Ислом-ата, кафе-чайхана","{'lat': 59.877351, 'lon': 30.279171}","[{'alias': 'kafe', 'id': '161', 'kind': 'primary', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}]",branch,1 этаж,,,2025-11-25 15:09:43.574079,59.877351,30.279171,-1
