rubric_id,rubric_name,rubric_alias,parent_id
5419,Аварийные / справочные / экстренные службы,avarijjnye_spravochnye_ehkstrennye_sluzhby,
16182,Аварийные комиссары,avarijjnye_komissary,5419
122,Аварийные службы,avarijjnye_sluzhby,5419
59508,Ликвидация нефтеразливов,likvidaciya_nefterazlivov,5419
112854,Номера экстренных служб,nomera_ehkstrennykh_sluzhb,5419
143,Пожарная охрана,pozharnaya_okhrana,5419
227,Скорая помощь,skoraya_pomoshh,5419
1644,Службы спасения,sluzhby_spaseniya,5419
151,Справочные,spravochnye,5419
717,Телефоны доверия,telefony_doveriya,5419
707,Управление ГО и ЧС,upravlenie_go_i_chs,5419
18305,Штрафстоянки,shtrafstoyanki,5419
9867,Эвакуатор,ehvakuator,5419
42903,Автосервис / Автотовары,avtoservis_avtotovary,
425,Автоаксессуары,avtoaksessuary,42903
404,Автозвук,avtozvuk,42903
524,Автомобильные аккумуляторы,avtomobilnye_akkumulyatory,42903
405,Автомойки,avtomojjki,42903
406,Авторазбор,avtorazbor,42903
110822,Автосервис самообслуживания,avtoservis_samoobsluzhivaniya,42903
408,Автосигнализации,avtosignalizacii,42903
677,Автостекло,avtosteklo,42903
409,Автостоянки,avtostoyanki,42903
426,Автохимия,avtokhimiya,42903
645,Автоэмали,avtoehmali,42903
410,Антикоррозийная обработка авто,antikorrozijjnaya_obrabotka_avto,42903
24814,Аэрография на транспорте,aehrografiya_na_transporte,42903
110316,Выездной автосервис,vyezdnojj_avtoservis,42903
437,Газовое оборудование для авто,gazovoe_oborudovanie_dlya_avto,42903
20989,Грузовой автосервис,gruzovojj_avtoservis,42903
110301,Детейлинг,detejjling,42903
7900,Замена масла,zamena_masla,42903
18547,Заправочные станции,zapravochnye_stancii,42903
1141,Запчасти для грузовых авто,zapchasti_dlya_gruzovykh_avto,42903
430,Запчасти для иномарок,zapchasti_dlya_inomarok,42903
110302,Запчасти для мототехники,zapchasti_dlya_mototekhniki,42903
13161,Запчасти для общественного транспорта,zapchasti_dlya_obshhestvennogo_transporta,42903
1140,Запчасти для отечественных авто,zapchasti_dlya_otechestvennykh_avto,42903
8466,Запчасти для спецтехники,zapchasti_dlya_spectekhniki,42903
3237,Запчасти к сельхозтехнике,zapchasti_k_selkhoztekhnike,42903
111508,Изоляционные материалы для авто,izolyacionnye_materialy_dlya_avto,42903
